issue_type,book,pkl_path,paragraph_id,segment_index,pipeline,system_name,reference_pipeline,gt_length,compared_length,ratio,bleu_score,threshold,low_bleu_repetitions,total_bleu_comparisons,text_preview,reference_text_preview,message,low_bleu_references
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,268,268,the_ark_pipeline3,the_ark_pipeline3,gt,50,158,3.160,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,268,268,the_ark_pipeline1_gemini,the_ark_pipeline1_gemini,gt,50,151,3.020,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,268,268,the_ark_pipeline2_gemini,the_ark_pipeline2_gemini,gt,50,153,3.060,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,285,285,the_ark_pipeline3,the_ark_pipeline3,gt,26,98,3.769,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,285,285,the_ark_pipeline1_gemini,the_ark_pipeline1_gemini,gt,26,84,3.231,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,285,285,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,26,85,3.269,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,285,285,the_ark_pipeline2_gpt54_high,the_ark_pipeline2_gpt54_high,gt,26,90,3.462,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,285,285,the_ark_pipeline2_gemini,the_ark_pipeline2_gemini,gt,26,95,3.654,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,292,292,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,18,4,4.500,0.744,length=3.0;bleu=1.5,9,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 9/18 other pipeline outputs.,[withheld from public GitHub release]
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,296,296,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,23,5,4.600,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,296,296,the_ark_pipeline2_gpt54_high,the_ark_pipeline2_gpt54_high,gt,23,5,4.600,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
